paper_id,authors,decision
0,"Tiange Luo, Tianle Cai, Mengxiao Zhang, Siyu Chen, Liwei Wang",Reject
1,"Zhenjia Xu, Zhijian Liu, Chen Sun, Kevin Murphy, William Freeman, Joshua Tenenbaum, Jiajun Wu",Accept (Poster)
2,"Maxime Chevalier-Boisvert, Dzmitry Bahdanau, Salem Lahlou, Lucas Willems, Chitwan Saharia, Thien Nguyen, Yoshua Bengio",Accept (Poster)
3,"Wenxuan Zhou, Lerrel Pinto, Abhinav Gupta",Accept (Poster)
4,"Konrad Zolna, Krzysztof Geras, Kyunghyun Cho",Reject
5,"Konrad Zolna, Negar Rostamzadeh, Yoshua Bengio, Sungjin Ahn, Pedro Pinheiro",Reject
6,"Peng Cao, Yilun Xu, Yuqing Kong, Yizhou Wang",Accept (Poster)
7,"Penghang Yin, Jiancheng Lyu, Shuai Zhang, Stanley Osher, Yingyong Qi, Jack Xin",Accept (Poster)
8,"Andrew Levy, George Konidaris, Robert Platt, Kate Saenko",Accept (Poster)
9,"Sirisha Rambhatla, Xingguo Li, Jarvis Haupt",Accept (Poster)
10,"Yonglong Tian, Andrew Luo, Xingyuan Sun, Kevin Ellis, William Freeman, Joshua Tenenbaum, Jiajun Wu",Accept (Poster)
11,"Luca Bertinetto, Joao Henriques, Philip Torr, Andrea Vedaldi",Accept (Poster)
12,"Liangchen Luo, Yuanhao Xiong, Yan Liu, Xu Sun",Accept (Poster)
13,"Fangwei Zhong, Peng Sun, Wenhan Luo, Tingyun Yan, Yizhou Wang",Accept (Poster)
14,"Oleg Ivanov, Michael Figurnov, Dmitry Vetrov",Accept (Poster)
15,"Panayotis Mertikopoulos, Bruno Lecouat, Houssam Zenati, Chuan-Sheng Foo, Vijay Chandrasekhar, Georgios Piliouras",Accept (Poster)
16,"Robert Hannah, Fei Feng, Wotao Yin",Accept (Poster)
17,"Marton Havasi, Robert Peharz, José Hernández-Lobato",Accept (Poster)
18,"Mikael Henaff, Alfredo Canziani, Yann LeCun",Accept (Poster)
19,"Klas Leino, Emily Black, Matt Fredrikson, Shayak Sen, Anupam Datta",Accept (Poster)
20,"Weili Nie, Nina Narodytska, Ankit Patel",Accept (Poster)
21,"Christian Hansen, Casper Hansen, Stephen Alstrup, Jakob Simonsen, Christina Lioma",Accept (Poster)
22,"Dinesh Jayaraman, Frederik Ebert, Alexei Efros, Sergey Levine",Accept (Poster)
23,"Mike Lewis, Angela Fan",Accept (Poster)
24,"Nikolay Savinov, Anton Raichuk, Damien Vincent, Raphael Marinier, Marc Pollefeys, Timothy Lillicrap, Sylvain Gelly",Accept (Poster)
25,"Yikang Shen, Shawn Tan, Alessandro Sordoni, Aaron Courville",Accept (Oral)
26,"Michael Chang, Abhishek Gupta, Sergey Levine, Thomas Griffiths",Accept (Poster)
27,"Gilwoo Lee, Brian Hou, Aditya Mandalika, Jeongseok Lee, Sanjiban Choudhury, Siddhartha Srinivasa",Accept (Poster)
28,"Dingdong Yang, Seunghoon Hong, Yunseok Jang, Tianchen Zhao, Honglak Lee",Accept (Poster)
29,"Alexandru Tifrea, Gary Becigneul, Octavian-Eugen Ganea",Accept (Poster)
30,"Aditya Grover, Eric Wang, Aaron Zweig, Stefano Ermon",Accept (Poster)
31,"Caglar Gulcehre, Misha Denil, Mateusz Malinowski, Ali Razavi, Razvan Pascanu, Karl Hermann, Peter Battaglia, Victor Bapst, David Raposo, Adam Santoro, Nando Freitas",Accept (Poster)
32,"Xuanqing Liu, Yao Li, Chongruo Wu, Cho-Jui Hsieh",Accept (Poster)
33,"Kedar Dhamdhere, Mukund Sundararajan, Qiqi Yan",Accept (Poster)
